id,code,label
C21097851,C10059,Marriage and divorce
C21097851,C10055,Litigation
C21097852,C10055,Litigation
C21097852,C10056,Manors
C21097853,C10055,Litigation
C21097854,C10023,Crime
C21097854,C10055,Litigation
C21097855,C10055,Litigation
C21097855,C10056,Manors
C21097855,C10036,Farming
C21097856,C10055,Litigation
C21097857,C10055,Litigation
C21097857,C10056,Manors
C21097858,C10055,Litigation
C21097858,C10025,Debt
C21097858,C10116,Wills and probate
C21097859,C10059,Marriage and divorce
C21097859,C10055,Litigation
C21097860,C10039,Food and drink
C21097860,C10055,Litigation
C21097861,C10055,Litigation
C21097862,C10023,Crime
C21097862,C10055,Litigation
C21097862,C10056,Manors
C21097863,C10055,Litigation
C21097864,C10055,Litigation
C21097865,C10055,Litigation
C21097865,C10108,Trade and commerce
C21097865,C10025,Debt
C21097866,C10055,Litigation
C21097867,C10055,Litigation
C21097867,C10056,Manors
C21097868,C10055,Litigation
C21097868,C10056,Manors
C21097869,C10055,Litigation
C21097870,C10055,Litigation
C21097870,C10056,Manors
C21097870,C10077,Pay and pensions
C21097871,C10055,Litigation
C21097872,C10055,Litigation
C21097873,C10055,Litigation
C21097873,C10056,Manors
C21097874,C10055,Litigation
C21097874,C10056,Manors
C21097875,C10055,Litigation
C21097876,C10055,Litigation
C21097877,C10055,Litigation
C21097877,C10108,Trade and commerce
C21097878,C10055,Litigation
C21097878,C10056,Manors
C21097879,C10055,Litigation
C21097879,C10108,Trade and commerce
C21097879,C10052,Labour
C21097879,C10080,Piracy and privateering
C21097880,C10055,Litigation
C21097880,C10108,Trade and commerce
C21097881,C10055,Litigation
C21097881,C10056,Manors
C21097882,C10055,Litigation
C21097883,C10055,Litigation
C21097884,C10055,Litigation
C21097885,C10055,Litigation
C21097885,C10056,Manors
C21097886,C10055,Litigation
C21097886,C10056,Manors
C21097887,C10055,Litigation
C21097888,C10055,Litigation
C21097889,C10055,Litigation
C21097889,C10077,Pay and pensions
C21097890,C10055,Litigation
C21097890,C10077,Pay and pensions
C21097891,C10055,Litigation
C21097892,C10055,Litigation
C21097892,C10077,Pay and pensions
C21097893,C10055,Litigation
C21097893,C10056,Manors
C21097894,C10055,Litigation
C21097895,C10055,Litigation
C21097895,C10108,Trade and commerce
C21097895,C10056,Manors
C21097896,C10055,Litigation
C21097897,C10055,Litigation
C21097898,C10055,Litigation
C21097899,C10055,Litigation
C21097900,C10055,Litigation
C21097901,C10055,Litigation
C21097902,C10055,Litigation
C21097903,C10093,Religions
C21097903,C10111,Treason and rebellion
C21097903,C10131,Europe and Russia
C21097903,C10055,Litigation
C21097903,C10108,Trade and commerce
C21097903,C10132,Ireland
C21097903,C10071,Nationality
C21097904,C10055,Litigation
C21097904,C10056,Manors
C21097905,C10055,Litigation
C21097906,C10055,Litigation
C21097906,C10077,Pay and pensions
C21097907,C10055,Litigation
C21097908,C10055,Litigation
C21097908,C10014,Coal
C21097909,C10055,Litigation
C21097910,C10055,Litigation
C21097911,C10055,Litigation
C21097911,C10025,Debt
C21097912,C10055,Litigation
C21097913,C10059,Marriage and divorce
C21097913,C10055,Litigation
C21097914,C10055,Litigation
C21097914,C10108,Trade and commerce
C21097914,C10012,Children
C21097915,C10055,Litigation
C21097915,C10025,Debt
C21097915,C10036,Farming
C21097916,C10055,Litigation
C21097917,C10055,Litigation
C21097917,C10116,Wills and probate
C21097918,C10055,Litigation
C21097918,C10007,Banking
C21097918,C10022,Conveyancing
C21097919,C10055,Litigation
C21097919,C10056,Manors
C21097920,C10055,Litigation
C21097920,C10116,Wills and probate
C21097921,C10055,Litigation
C21097921,C10116,Wills and probate
C21097922,C10055,Litigation
C21097922,C10056,Manors
C21097923,C10055,Litigation
C21097924,C10055,Litigation
C21097924,C10025,Debt
C21097924,C10012,Children
C21097925,C10055,Litigation
C21097925,C10025,Debt
C21097926,C10055,Litigation
C21097926,C10056,Manors
C21097926,C10066,Mining and quarrying
C21097927,C10131,Europe and Russia
C21097927,C10055,Litigation
C21097927,C10108,Trade and commerce
C21097928,C10055,Litigation
C21097928,C10108,Trade and commerce
C21097928,C10025,Debt
C21097929,C10055,Litigation
C21097930,C10055,Litigation
C21097931,C10005,"Art, architecture and design"
C21097931,C10055,Litigation
C21097931,C10108,Trade and commerce
C21097931,C10013,Clothing
C21097932,C10055,Litigation
C21097932,C10036,Farming
C21097933,C10055,Litigation
C21097933,C10056,Manors
C21097934,C10055,Litigation
C21097934,C10108,Trade and commerce
C21097934,C10025,Debt
C21097935,C10055,Litigation
C21097936,C10055,Litigation
C21097936,C10025,Debt
C21097937,C10055,Litigation
C21097937,C10056,Manors
C21097937,C10036,Farming
C21097938,C10023,Crime
C21097938,C10055,Litigation
C21097938,C10025,Debt
C21097939,C10055,Litigation
C21097939,C10056,Manors
C21097940,C10055,Litigation
C21097940,C10108,Trade and commerce
C21097941,C10059,Marriage and divorce
C21097941,C10055,Litigation
C21097941,C10128,Middle East
C21097941,C10056,Manors
C21097941,C10012,Children
C21097942,C10055,Litigation
C21097942,C10107,Tithes
C21097943,C10055,Litigation
C21097944,C10055,Litigation
C21097945,C10055,Litigation
C21097946,C10055,Litigation
C21097946,C10056,Manors
C21097947,C10055,Litigation
C21097948,C10055,Litigation
C21097949,C10055,Litigation
C21097950,C10055,Litigation
C21097950,C10056,Manors
C21097951,C10055,Litigation
C21097952,C10055,Litigation
C21097952,C10132,Ireland
C21097952,C10092,Army
C21097953,C10055,Litigation
C21097953,C10056,Manors
C21097954,C10055,Litigation
C21097954,C10108,Trade and commerce
C21097954,C10025,Debt
C21097955,C10055,Litigation
C21097955,C10108,Trade and commerce
C21097955,C10025,Debt
C21097956,C10055,Litigation
C21097957,C10055,Litigation
C21097957,C10056,Manors
C21097958,C10055,Litigation
C21097959,C10055,Litigation
C21097959,C10077,Pay and pensions
C21097959,C10116,Wills and probate
C21097960,C10055,Litigation
