age,gender,year,deaths
105,female,1968,25
105,male,1968,2
0,female,1969,6060
0,male,1969,8331
1,female,1969,465
1,male,1969,567
2,female,1969,254
2,male,1969,381
3,female,1969,175
3,male,1969,275
4,female,1969,181
4,male,1969,261
5,female,1969,147
5,male,1969,212
6,female,1969,94
6,male,1969,173
7,female,1969,92
7,male,1969,184
8,female,1969,89
8,male,1969,144
9,female,1969,76
9,male,1969,126
10,female,1969,53
10,male,1969,135
11,female,1969,76
11,male,1969,111
12,female,1969,61
12,male,1969,115
13,female,1969,86
13,male,1969,145
14,female,1969,76
14,male,1969,156
15,female,1969,90
15,male,1969,175
16,female,1969,116
16,male,1969,291
17,female,1969,146
17,male,1969,363
18,female,1969,131
18,male,1969,391
19,female,1969,151
19,male,1969,354
20,female,1969,138
20,male,1969,325
21,female,1969,154
21,male,1969,397
22,female,1969,189
22,male,1969,394
23,female,1969,152
23,male,1969,295
24,female,1969,177
24,male,1969,316
25,female,1969,144
25,male,1969,321
26,female,1969,159
26,male,1969,296
27,female,1969,158
27,male,1969,270
28,female,1969,192
28,male,1969,251
29,female,1969,152
29,male,1969,292
30,female,1969,176
30,male,1969,316
31,female,1969,172
31,male,1969,300
32,female,1969,254
32,male,1969,318
33,female,1969,196
33,male,1969,332
34,female,1969,253
34,male,1969,387
35,female,1969,279
35,male,1969,387
36,female,1969,293
36,male,1969,397
37,female,1969,316
37,male,1969,452
38,female,1969,395
38,male,1969,552
39,female,1969,446
39,male,1969,592
40,female,1969,479
40,male,1969,745
41,female,1969,579
41,male,1969,816
42,female,1969,697
42,male,1969,839
43,female,1969,743
43,male,1969,1006
44,female,1969,838
44,male,1969,1166
45,female,1969,837
45,male,1969,1357
46,female,1969,986
46,male,1969,1562
47,female,1969,1199
47,male,1969,1775
48,female,1969,1335
48,male,1969,2131
49,female,1969,1530
49,male,1969,2474
50,female,1969,1224
50,male,1969,1904
51,female,1969,1193
51,male,1969,1937
52,female,1969,1528
52,male,1969,2409
53,female,1969,1770
53,male,1969,2907
54,female,1969,2000
54,male,1969,3481
55,female,1969,2215
55,male,1969,3877
56,female,1969,2441
56,male,1969,4308
57,female,1969,2523
57,male,1969,4537
58,female,1969,2818
58,male,1969,5122
59,female,1969,3065
59,male,1969,5591
60,female,1969,3355
60,male,1969,6275
61,female,1969,3598
61,male,1969,6640
62,female,1969,3877
62,male,1969,7293
63,female,1969,4177
63,male,1969,7635
64,female,1969,4527
64,male,1969,8485
65,female,1969,4925
65,male,1969,8764
66,female,1969,5087
66,male,1969,8924
67,female,1969,5607
67,male,1969,9438
68,female,1969,6376
68,male,1969,9726
69,female,1969,6630
69,male,1969,9846
70,female,1969,6640
70,male,1969,9210
71,female,1969,7164
71,male,1969,8839
72,female,1969,7864
72,male,1969,9090
73,female,1969,8305
73,male,1969,8959
74,female,1969,8621
74,male,1969,9129
75,female,1969,8871
75,male,1969,8767
76,female,1969,9376
76,male,1969,8749
77,female,1969,9268
77,male,1969,8203
78,female,1969,9850
78,male,1969,8024
79,female,1969,9917
79,male,1969,7525
80,female,1969,10291
80,male,1969,7271
81,female,1969,9668
81,male,1969,6795
82,female,1969,9882
82,male,1969,6306
83,female,1969,9591
83,male,1969,5759
84,female,1969,9307
84,male,1969,5423
85,female,1969,8605
85,male,1969,4747
86,female,1969,8168
86,male,1969,4152
87,female,1969,7431
87,male,1969,3530
88,female,1969,6587
88,male,1969,3052
89,female,1969,5592
89,male,1969,2498
90,female,1969,4803
90,male,1969,1959
91,female,1969,3746
91,male,1969,1587
92,female,1969,3261
92,male,1969,1257
93,female,1969,2562
93,male,1969,900
94,female,1969,1881
94,male,1969,631
95,female,1969,1440
95,male,1969,410
96,female,1969,1010
96,male,1969,292
97,female,1969,703
97,male,1969,174
98,female,1969,475
98,male,1969,115
