burial_id,feetotal,fee_l,fee_s,fee_d,fee_as_d
10961,2.3.0,2,3,0,516
10962,0.3.0,0,3,0,36
10963,0.9.0,0,9,0,108
10964,0.9.0,0,9,0,108
10965,0.1.6,0,1,6,18
10966,0.9.0,0,9,0,108
10967,0.5.0,0,5,0,60
10968,0.5.0,0,5,0,60
10969,0.5.0,0,5,0,60
10970,0.1.6,0,1,6,18
10971,0.9.0,0,9,0,108
10972,0.5.0,0,5,0,60
10973,2.3.0,2,3,0,516
10974,0.1.6,0,1,6,18
10975,0.9.0,0,9,0,108
10976,0.1.6,0,1,6,18
10977,0.3.0,0,3,0,36
10978,0.3.0,0,3,0,36
10979,0.9.0,0,9,0,108
10980,0.5.0,0,5,0,60
10981,0.5.0,0,5,0,60
10982,0.5.0,0,5,0,60
10983,4.6.0,4,6,0,1032
10984,1.4.0,1,4,0,288
10985,1.1.6,1,1,6,258
10986,0.14.0,0,14,0,168
10987,0.9.0,0,9,0,108
10988,0.5.0,0,5,0,60
10989,0.3.0,0,3,0,36
10990,0.5.0,0,5,0,60
10991,0.5.0,0,5,0,60
10992,1.11.0,1,11,0,372
10993,0.9.0,0,9,0,108
10994,0.5.0,0,5,0,60
10995,4.6.0,4,6,0,1032
10996,0.3.0,0,3,0,36
10997,0.9.0,0,9,0,108
10998,0.5.0,0,5,0,60
10999,0.9.0,0,9,0,108
11000,0.1.6,0,1,6,18
11001,0.5.0,0,5,0,60
11002,0.14.0,0,14,0,168
11003,0.1.6,0,1,6,18
11004,0.1.6,0,1,6,18
11005,0.1.6,0,1,6,18
11006,0.5.0,0,5,0,60
11007,0.9.0,0,9,0,108
11008,0.9.0,0,9,0,108
11009,0.1.6,0,1,6,18
11010,0.1.6,0,1,6,18
11011,0.5.0,0,5,0,60
11012,1.1.6,1,1,6,258
11013,0.9.0,0,9,0,108
11014,0.1.6,0,1,6,18
11015,0.5.0,0,5,0,60
11016,0.9.0,0,9,0,108
11017,2.3.0,2,3,0,516
11018,0.5.0,0,5,0,60
11019,0.5.0,0,5,0,60
11020,0.1.6,0,1,6,18
11021,0.5.0,0,5,0,60
11022,0.5.0,0,5,0,60
11023,0.1.6,0,1,6,18
11024,0.5.0,0,5,0,60
11025,1.1.6,1,1,6,258
11026,0.5.0,0,5,0,60
11027,0.9.0,0,9,0,108
11028,0.5.0,0,5,0,60
11029,0.1.6,0,1,6,18
11030,0.5.0,0,5,0,60
11031,0.3.0,0,3,0,36
11032,0.5.0,0,5,0,60
11033,0.1.6,0,1,6,18
11034,0.3.0,0,3,0,36
11035,1.1.0,1,1,0,252
11036,0.1.6,0,1,6,18
11037,0.5.0,0,5,0,60
11038,1.1.6,1,1,6,258
11039,0.5.0,0,5,0,60
11040,0.3.0,0,3,0,36
11041,0.3.0,0,3,0,36
11042,0.5.0,0,5,0,60
11043,0.14.0,0,14,0,168
11044,0.3.0,0,3,0,36
11045,0.1.6,0,1,6,18
11046,0.3.0,0,3,0,36
11047,0.3.0,0,3,0,36
11048,0.3.0,0,3,0,36
11049,0.9.0,0,9,0,108
11050,1.11.0,1,11,0,372
11051,0.1.6,0,1,6,18
11052,0.5.0,0,5,0,60
11053,0.1.6,0,1,6,18
11054,0.1.6,0,1,6,18
11055,1.1.0,1,1,0,252
11056,0.5.0,0,5,0,60
11057,1.16.0,1,16,0,432
11058,0.9.0,0,9,0,108
11059,0.9.0,0,9,0,108
11060,0.9.0,0,9,0,108
11061,0.5.0,0,5,0,60
11062,0.5.0,0,5,0,60
11063,0.1.6,0,1,6,18
11064,0.1.6,0,1,6,18
11065,0.5.0,0,5,0,60
11066,0.9.0,0,9,0,108
11067,0.1.6,0,1,6,18
11068,0.5.0,0,5,0,60
11069,0.5.0,0,5,0,60
11070,0.5.0,0,5,0,60
11071,0.5.0,0,5,0,60
11072,0.5.0,0,5,0,60
11073,0.5.0,0,5,0,60
11074,0.9.0,0,9,0,108
11075,0.5.0,0,5,0,60
11076,0.5.0,0,5,0,60
11077,0.9.0,0,9,0,108
11078,1.1.0,1,1,0,252
11079,0.9.0,0,9,0,108
11080,0.1.6,0,1,6,18
11081,0.5.0,0,5,0,60
11082,0.5.0,0,5,0,60
11083,0.5.0,0,5,0,60
11084,0.9.0,0,9,0,108
11085,0.5.0,0,5,0,60
11086,0.5.0,0,5,0,60
11087,2.3.0,2,3,0,516
11088,2.12.6,2,12,6,630
11089,0.1.6,0,1,6,18
11090,1.4.0,1,4,0,288
11091,0.1.6,0,1,6,18
11092,0.5.0,0,5,0,60
11093,2.3.0,2,3,0,516
11094,0.9.0,0,9,0,108
11095,1.4.0,1,4,0,288
11096,0.9.0,0,9,0,108
11097,0.1.6,0,1,6,18
11098,0.5.0,0,5,0,60
11099,0.19.0,0,19,0,228
11100,1.1.6,1,1,6,258
11101,0.5.0,0,5,0,60
11102,0.1.6,0,1,6,18
11103,0.3.0,0,3,0,36
11104,0.5.0,0,5,0,60
11105,0.5.0,0,5,0,60
11106,0.9.0,0,9,0,108
11107,1.1.0,1,1,0,252
11108,1.1.0,1,1,0,252
11109,2.12.6,2,12,6,630
11110,0.5.0,0,5,0,60
11111,0.5.0,0,5,0,60
11112,1.16.0,1,16,0,432
11113,0.5.0,0,5,0,60
11114,0.5.0,0,5,0,60
11115,0.9.0,0,9,0,108
11116,0.19.0,0,19,0,228
11117,0.9.0,0,9,0,108
